Wavelength (nm)	Z	E	HL
352.0	5209.093557652594	4019.210790211616	7007.024824642041
353.0	5420.170783811721	4104.17606695862	7131.814210288165
354.0	5642.228233861505	4196.355675766025	7252.011414440578
355.0	5875.41316306052	4295.775597446601	7367.245208459726
356.0	6119.833540283099	4402.479851770759	7477.097830313451
357.0	6375.316102501075	4516.526151871001	7581.57248086181
358.0	6641.955814703987	4637.940536598806	7680.180395882965
359.0	6920.002726943825	4766.834106158797	7772.701626497974
360.0	7209.240168858731	4903.202795570412	7859.091076144741
361.0	7525.252334798498	5054.606756357337	7942.603550069573
362.0	7839.807149876771	5206.588098457846	8017.088858802239
363.0	8172.444782503302	5367.641264739593	8087.933580405196
364.0	8514.814403446919	5535.714950549154	8149.326347117681
365.0	8868.600931552715	5710.474461712748	8203.333932957094
366.0	9226.977052583057	5889.794819979554	8248.024497941135
367.0	9577.55533000351	6070.593919305874	8280.14078994381
368.0	9945.015717681754	6260.445243426502	8308.682375630344
369.0	10326.475657300107	6458.982875782252	8331.76263961493
370.0	10744.695060823668	6678.5802618489015	8348.993637655352
371.0	11160.41433013397	6898.2866839953	8358.3183974791
372.0	11592.006214463794	7127.6850611714235	8358.586601102079
373.0	12033.25023226898	7363.694175874584	8351.20932990991
374.0	12479.190850318128	7603.946951167777	8335.63236564854
375.0	12954.111266628412	7861.54602081782	8310.9726265858
376.0	13412.300582582147	8111.526213568168	8280.79542984826
377.0	13874.211711093238	8365.003898662027	8243.07905530247
378.0	14336.598900836883	8619.923765890575	8198.816239034048
379.0	14799.124783421985	8876.563259407705	8148.169101049768
380.0	15287.464659361674	9150.375269269074	8087.342104139752
381.0	15756.010195890156	9415.55504296327	8022.896200592328
382.0	16231.52325051247	9686.509810607562	7951.1093022670275
383.0	16713.585958959527	9962.951035464424	7872.416740361371
384.0	17224.481485138946	10257.98135464061	7782.820555273756
385.0	17709.02798136664	10539.800893267377	7691.368582639457
386.0	18189.461357997072	10821.301289141344	7595.855330278062
387.0	18685.757550945265	11116.018805021182	7490.508210626968
388.0	19148.397858558783	11394.567411362123	7385.902154102609
389.0	19607.689482689017	11674.967143648153	7275.483364117176
390.0	20065.108776353005	11958.209597563882	7158.489395798587
391.0	20539.61902083283	12255.744016214592	7032.66754072365
392.0	20976.304902293905	12533.190343587437	6910.018122095511
393.0	21393.687112052477	12803.072979829532	6786.608378275953
394.0	21816.740480800105	13084.51377634345	6652.637915858758
395.0	22215.124518571745	13355.638313042042	6518.523329381497
396.0	22631.337111313704	13641.753214190881	6372.76330261517
397.0	23011.963199714883	13907.078977754763	6233.722435981609
398.0	23366.39062702927	14158.31358981106	6097.450555163777
399.0	23710.643201330848	14410.401940353042	5954.647610977762
400.0	24024.03618340801	14646.154340059631	5816.19762311578
401.0	24344.689270986517	14896.604072406762	5663.19417801299
402.0	24635.201688857695	15135.247540140976	5512.577507579759
403.0	24912.167309763096	15365.043036222283	5362.8159504745645
404.0	25169.524675016877	15590.089980788505	5209.397702356939
405.0	25378.47407184691	15789.068724092329	5066.52724136222
406.0	25574.8552140405	15986.726544073394	4916.263888978116
407.0	25733.487635531088	16166.17006124348	4771.306253817729
408.0	25871.42414545815	16346.997781483635	4616.411256891593
409.0	25982.639366337546	16509.468915456393	4468.225860196109
410.0	26068.427825741273	16666.721999089335	4314.559282240114
411.0	26115.833029810732	16800.458738185567	4172.489747568712
412.0	26139.0	16925.610145366412	4025.4004249484224
413.0	26133.55897314083	17030.561189135962	3887.9104390429316
414.0	26093.62994968632	17125.438231902815	3745.5720321244567
415.0	26024.965042387004	17201.188950187894	3611.155426715679
416.0	25918.600270529278	17267.22317868374	3469.4979209803723
417.0	25780.778735090393	17315.97673787712	3333.4668586492426
418.0	25598.086791558693	17351.04392217908	3190.69057407122
419.0	25388.35670375879	17368.989016476895	3052.800765176086
420.0	25168.424793621743	17370.0	2927.6513325616224
421.0	24912.40330279882	17355.10723869055	2804.8712192597222
422.0	24652.173361082503	17325.8530576019	2694.9802155370858
423.0	24345.073389258967	17278.195322283784	2581.452565299163
424.0	23992.81458867275	17211.22560348081	2468.1278353645394
425.0	23611.828329293898	17127.669104453245	2357.4926387853216
426.0	23166.6874959468	17017.112107814457	2239.8992418422154
427.0	22696.95759856047	16888.17446107546	2125.1503425607375
428.0	22251.966905136567	16754.45051419684	2024.3730552869483
429.0	21784.465342456402	16603.009708072386	1925.8612656506311
430.0	21302.319070313097	16438.45292563518	1833.1670321045772
431.0	20817.17608955387	16263.80500097909	1749.069739703277
432.0	20266.220127422333	16056.29385696635	1658.976397027357
433.0	19686.03454591952	15826.167096605546	1570.130479317452
434.0	19116.42895254383	15589.795929551274	1487.0356109382935
435.0	18510.20950214189	15327.329352722872	1404.3275629438115
436.0	17901.362625978352	15053.959848377852	1328.0056860510226
437.0	17269.40166514292	14759.331509686455	1252.8533465288795
438.0	16638.049048015793	14453.417468838808	1182.9488669061598
439.0	15972.662608705516	14119.8448015483	1111.6981624361447
440.0	15312.427951394853	13776.156376806544	1044.2136183934551
441.0	14668.68537937521	13430.339096057192	981.6674893232902
442.0	14076.336540985298	13102.756428905715	926.5085043203915
443.0	13455.77646139778	12749.740534953367	872.240596086838
444.0	12836.597815626072	12388.506301031506	819.9270618905585
445.0	12206.963451245769	12009.620505607461	769.4563979922588
446.0	11570.686711679327	11615.44800974821	720.2095295995387
447.0	10975.600280814057	11236.991616759587	675.5785148391076
448.0	10356.64219741195	10831.556594287991	631.4128055526269
449.0	9751.809767001634	10424.111959460153	589.3307423726933
450.0	9164.43633397692	10017.275786038728	549.3926721814288
451.0	8589.09520322492	9607.217870024115	512.1535387611891
452.0	8025.352667715366	9194.331786366301	476.30895606249544
453.0	7473.4332276139385	8779.00352565613	442.98685027488943
454.0	6938.911794846989	8365.466213160144	413.56236779478166
455.0	6431.3924709351695	7962.139608362667	385.4306913636716
