Wavelength (nm)	355 nm LED	375 nm LED	405 nm LED	420 nm LED	450 nm LED	470 nm LED	490 nm LED
272.0	-6.751855407284923e-06	-9.452441629318755e-05	-2.65500846608707e-05	-4.343170732148951e-05	-0.00015024037059465446	4.067555977049764e-05	-0.00016899236304611617
273.0	-6.05783655171609e-05	-5.621238778812386e-05	-4.36853305066981e-05	-4.351838287271755e-05	-0.00010154740600779642	-3.015557916235003e-06	-0.0001418563118755078
274.0	-9.318314235448105e-05	7.742229778337209e-05	6.558695448022447e-06	-1.774107393678474e-05	-0.00013348304886420491	-7.634879793703683e-05	-0.00010306152538191229
275.0	-9.318314235448019e-05	0.00010610606513612447	-4.550981344117284e-05	-3.863235822764285e-05	-9.172488422947223e-05	-0.00013139969297128705	-5.50324383417652e-05
276.0	-1.71315942554459e-05	-0.00012905406014445702	-6.201703999118869e-05	-3.1103967492199525e-05	-8.02380104626384e-05	-3.827467592232839e-05	-0.00010713672064592386
277.0	-3.409847506494234e-05	-3.2947850508736594e-05	-5.862126767232862e-05	-1.5858976252923712e-05	-4.956130052060791e-05	-3.514303818085985e-05	-8.123012218184611e-05
278.0	-3.19027610778354e-05	-0.00023615051759739398	-4.477564588270857e-06	-8.163829030386671e-05	-0.00014051031281568158	-5.145245078363575e-06	-8.312217712584856e-05
279.0	6.6220388778469455e-06	-7.05173501392475e-05	-9.665550075420997e-06	-8.624942962932331e-05	-0.00010077924355156274	-2.4594363683280667e-05	1.7302277594458184e-05
280.0	-2.1123801504737977e-05	-2.601074373049103e-05	-4.1453752060311105e-05	-9.321319105960737e-05	-0.00012442868954211437	-0.00015381562627864306	-0.0001486163867260554
281.0	2.3988140412270398e-05	2.3406398937021793e-05	-6.748800650490842e-05	-9.453065943831216e-05	-4.996671959473358e-05	-3.563750729793123e-05	-6.43471703737921e-05
282.0	0.0001858721443711122	0.00011701836793337033	-3.362461032516003e-05	-6.140574020235817e-05	-2.726325144380647e-05	-0.00010750035231270399	-5.7215578661771874e-05
283.0	1.8798270988191304e-05	-0.0001384074625420934	-4.9188566786603495e-05	-4.5690224542118194e-05	-6.956197484404409e-05	-0.00021084439778119212	-2.839812643768265e-05
284.0	-5.066613514950662e-05	-0.00017987421317161665	-0.00012861190824439703	-3.0539338187041603e-05	-0.00017672775010406827	-0.00015200257284937166	-0.00018907725399017842
285.0	-3.5096526877265494e-05	-9.798179574577264e-06	-0.0001272913301203993	-6.620508929620374e-05	-0.00012834774059197296	-0.00020886652131289464	-0.00012445630051797932
286.0	1.7201388088474832e-05	-6.911433977960323e-05	-7.47511861869124e-05	-8.088545123031944e-05	-0.00023686491276574364	-0.0002110092208202165	-0.0001503628989820566
287.0	1.0614246127141717e-05	6.292452406703885e-05	-9.210735581664491e-05	-8.079134634612656e-05	-0.00022199954671453965	-0.00013898155276641892	-0.000191260394310187
288.0	-5.8051718560702724e-05	0.00012122739901230643	-9.484283907350745e-05	-9.895358899538622e-05	-8.496789966073994e-05	-0.00015595832578596517	-0.00017714275357414593
289.0	-0.0001339591036201766	0.00012683511017200116	-7.855570887749282e-05	-9.005544939002288e-05	-0.00020691645560500988	-0.00014138980050327774	-0.00023428443002409456
290.0	-0.00011893287911241496	2.2315168657294194e-05	-4.881125875117242e-05	6.726195953410623e-06	-0.00019551216720512505	-0.00021298709728850696	-0.00022473521255028875
291.0	0.00011521007605862052	-0.00017223560121354604	-2.6267103634293775e-05	-3.618563123862343e-05	-0.00018862004294502768	-0.00014870611206888206	-0.00013697297168602249
292.0	0.00011940189367037803	4.671195991113295e-05	2.0424765750038844e-05	-0.00010478809181535394	-0.00018862004294502538	-0.0002180966114982766	-0.00015633014919007613
293.0	0.00013297539831797625	6.354808422687939e-05	-7.61660913197689e-05	-0.00010789355299372508	-0.00014469964324830337	-0.00022122824923974743	-0.00021454722439025455
294.0	-3.170315071536941e-05	7.976064838278187e-05	-0.00010814294732237917	-0.00022684212661373409	-0.00010591455182380063	-0.00011458774299075984	-0.00023943502403833594
295.0	-6.543730197189358e-05	-0.00010948986012940175	-0.00012974383235068366	-0.00011288111185595438	-0.00018997143985877325	-7.057999157117051e-05	-0.0002740741837824423
296.0	1.360840156411049e-05	6.908218064547872e-05	-9.767264933922357e-05	-0.00010384704297342345	-0.0001938904909086341	-9.595467132035189e-06	-0.0002697079031424303
297.0	-7.405381595161658e-05	-0.00012198704499957522	-9.949630484379755e-05	-4.7595848447031064e-05	-0.00018538795199298476	-6.0415904164646355e-05	-0.00015380740926473853
298.0	-9.198548017969162e-05	-0.00011307533104849469	-7.993917167406159e-05	-0.00010535272112050919	-0.000274298607276496	-0.00012431230229322272	-0.0001550202649980784
299.0	-0.0001046219250701642	-6.983533121441688e-05	-2.1938542005625137e-05	-7.651480216446451e-05	-0.00021205551775756163	-0.0001976310841527125	-0.0002724287428375537
300.0	-2.331951549185242e-05	5.7624262708371275e-05	-9.767264933922209e-05	-8.483785636642471e-05	-0.00020862071726846247	-0.00029440967856670807	-0.00025646351853439203
301.0	3.277099636071952e-05	7.523983722392145e-05	-7.43738781514856e-05	-0.00012436190772750712	-0.00020605306313234258	-0.0002490833428349252	-0.00027043561658242896
302.0	2.318969896241238e-05	-8.065020273668619e-05	-8.78626404180732e-05	-0.00012680863471652747	-0.0001449699226310447	-0.0002596320173325021	-0.0003009995810625242
303.0	8.347202842674367e-05	0.0001515480117846452	-0.00011644372410181195	-0.00013894816477742593	-0.00023686491276574153	-0.0002840258271081528	-0.00034655444240666713
