[py] (M)	Z cut-epsilon	E cut-epsilon	HL cut-epsilon	D
470.0	1995.9590426936975	2437.6219173957206	409.6095048715804	4370.984527283165
471.0	1828.653006465635	2267.253780146054	386.0213765016248	4115.542688099017
472.0	1670.0925892873947	2100.2969764284367	383.35436227919473	3855.5035612743923
473.0	1526.9813067495504	1944.953160770952	380.5321105523714	3605.5956240895107
474.0	1408.7219568044527	1803.068229312399	363.8532098356835	3354.9243829155926
475.0	1290.5161354917157	1676.4080217529583	350.3332104639803	3153.895963181828
476.0	1182.2226286739783	1544.4914103423487	346.71944636593673	2917.852705975293
477.0	1091.1156370299739	1441.4010903258304	333.66897367748163	2745.049215440536
478.0	996.8465714207548	1331.602631777334	278.0058456764109	2556.021969459192
479.0	918.8533882776753	1231.9792970015483	272.06430903915106	2370.9402644042434
480.0	842.3460659418012	1142.0104165981381	267.6847113350992	2214.725112330876
481.0	771.5956399981959	1052.787382734721	263.58079041500565	2050.584227397581
482.0	716.1093956347916	981.5986936129999	248.84896178978335	1917.886019891046
483.0	659.549085028577	909.4687836937809	255.48743792916554	1784.0461632761437
484.0	604.8128607108066	839.777291142477	263.1626112591625	1654.8892608830204
485.0	538.0871535309382	767.8488423397113	275.56421926072	1540.0052915681486
486.0	475.0972570993431	673.2445474302058	192.98999471997203	1344.3148736756652
487.0	504.20896476890994	680.6559681209515	202.26522290128258	1316.1269112671105
488.0	478.9991403240998	665.4019914527017	237.45943859075544	1311.6698534925974
489.0	412.98598014893605	591.8011390819473	216.23084784270674	1190.039557112637
490.0	377.50524144762136	547.8297259475713	209.06559535003709	1110.2502800649975
491.0	353.43188094753475	516.8384138247898	185.64828709838778	1052.333712260026
492.0	326.2956132689532	483.20184338192865	175.52725903513627	991.2883184446451
493.0	303.45478718671325	449.67237500737184	180.45422152951483	922.8610322130003
494.0	282.1567781216364	421.66857351775667	161.81614646739092	869.7090290635659
495.0	263.8858114689924	396.54903783558274	151.798860480749	820.5312459646624
496.0	240.98610132903298	372.09495392790643	172.93435086461255	781.8592320902111
497.0	224.43047203280062	346.3559811469082	156.0005031950155	727.5701407479083
498.0	215.2529396870927	337.45332652287635	150.34772878330404	715.0047263134703
499.0	194.33337608246904	312.5253802335692	133.22948732438587	671.2203402746262
500.0	186.99456040146706	296.9562980602215	110.98109224955235	633.5660170401029
501.0	176.8740824627796	285.62492989736245	132.400114889177	614.7632975416798
502.0	160.9868099544429	269.64850915911103	128.99898088176693	591.1654215048187
503.0	153.65038155539386	256.62642662856507	125.56365718033015	561.8278489958134
504.0	146.57188157349373	247.00091554924592	128.43458617226213	543.1226042670977
505.0	139.85374377836524	234.60002405458968	126.10185340252934	514.7015397852871
506.0	133.72852605466463	229.25844628675452	91.95395086718413	508.27599712043076
507.0	125.46239112933033	217.61179904137893	100.19664936570923	485.10544343539027
508.0	119.93615189852531	214.27022288426053	96.95610054418881	484.1357447455337
509.0	110.38363267345309	199.03717101700022	90.39033571304515	451.5638989003242
510.0	108.0045065140035	198.5723943194472	102.80038450341912	454.3279005164278
511.0	100.33728426357125	185.67293016539583	109.99417690752077	425.98635117592
512.0	100.97451210727701	185.0392443343814	103.39562494640225	422.76908944732537
513.0	93.67240079050815	176.02725263139334	99.69176563575628	406.47071292384743
514.0	86.96950591644683	172.16335760089783	86.49902946197157	405.912578632529
515.0	86.0781820460505	164.71057760188722	79.11743068828643	383.1687293424748
516.0	83.95343286035296	165.329569651032	82.51654793773312	389.01552490128637
517.0	75.21182146454599	155.44157275900815	80.16603489592333	372.44633956749686
518.0	74.16078433228934	153.75843069704837	86.66284588685872	368.8393812891364
519.0	70.5587095226007	149.40497930372058	87.14570386925324	361.100390244574
520.0	65.64367507346957	143.31104924044422	78.2862041644541	350.0385827362862
521.0	62.255429155085956	143.40896064313867	76.916255177847	356.4573019419793
522.0	62.66927503497834	140.35719596828534	71.31368851792291	345.74226416542723
523.0	55.408179265096194	129.2449129894394	67.08103717680805	322.50840805932546
524.0	54.787092743076286	129.54315517877941	68.4182489845809	324.6007210315351
525.0	46.777305239656414	117.99159712829513	66.74595345675597	301.2793983867587
526.0	46.768204119993726	118.57706819186467	67.09049046992143	303.2085143668332
527.0	39.243802152671144	113.85368836681283	63.26447527380187	301.32115601956946
528.0	34.77602131455273	110.1466578822848	60.165807475017516	297.2522929352296
529.0	33.13402306135786	103.65657413417382	54.66718509457833	279.0047861859018
530.0	31.56792063057108	102.04184883019771	53.819830622133466	276.548462993228
531.0	29.233329567787003	98.40354575982924	54.61624565329305	268.8643907753456
532.0	26.579887163739727	94.90076938432689	50.15883199838937	262.19701668386443
533.0	23.23272422325264	93.87426623850425	53.84645542751467	264.8683241993387
534.0	16.488701487548703	82.11969332901546	45.99031674683619	238.6053754283059
535.0	15.600285404242184	79.46569891488113	49.586476047995276	231.53392462728078
536.0	13.714146430025147	76.8978456296172	41.25367993708697	226.53979809791414
537.0	10.037733710277465	78.34885888887779	38.550935332948434	237.89780131146438
538.0	6.4159321536355876	76.11221530443873	46.16839400504233	237.10992952305733
539.0	5.487175798636328	70.53936606104747	36.61944085929704	220.57519248389676
540.0	-1.8844473509437216	62.84588726076194	34.53740565440708	208.709518912608
541.0	-4.12268922891112	61.928655068831745	35.75111179143789	209.74175672191333
542.0	-3.8303322333956253	61.02938551928818	32.672130474356315	206.27760051162662
543.0	-7.797043033504815	55.1781520150411	27.10812538792185	194.30170009344798
544.0	-5.941670768983323	57.879916444530984	27.128028400156683	199.78869440845273
545.0	-8.905243189189887	53.45384935592192	25.942388284621344	190.6631635863387
546.0	-10.128884930289699	54.738602421869615	29.271448416639505	197.06300698676952
547.0	-15.656251739983889	49.06546621004136	34.73885606597247	188.4781312401761
548.0	-17.184433032157568	45.95134005582448	39.642250596359204	181.0550074202622
549.0	-16.648113467989486	43.647933568837225	32.292718342174105	172.5644032117723
550.0	-18.306669550723793	42.40158758904599	26.367142204691184	171.4779918447161
551.0	-19.946850907816753	40.03213698753745	25.043288191671174	166.689323172355
552.0	-23.0041164359903	35.348954091768036	27.088039724667578	156.89244260258872
553.0	-22.812585805276424	34.525123926477306	28.679725244233865	153.8562343172989
554.0	-22.459357657593504	32.094379848325396	28.874795708243642	145.27918274814738
555.0	-19.25109586173097	36.69424436235217	35.809928645966586	154.5320688829203
556.0	-23.324549854183477	29.935620420195512	24.960956584134884	139.783861650309
557.0	-21.57331836393435	30.585275254028648	24.94149466703119	138.75406730999345
558.0	-24.38711568397264	26.32522712469955	20.332939774911644	129.9013252475442
559.0	-24.222131554816585	24.042709528886537	18.991427328133526	122.14736882954219
