Wavelength / nm	1	2	3
162.0	21170.95955922214	13264.950001443236	9327.334747275054
163.0	21594.023229548628	13537.161876860931	9068.20842051088
164.0	21970.13054071891	13770.967135306853	8837.77209123794
165.0	22373.34792472555	13984.484788949585	8575.101984372957
166.0	22745.336273670775	14243.471428343462	8288.768283273717
167.0	23113.849158462715	14491.825399538022	7999.562364521744
168.0	23482.96810043653	14742.433641312131	7686.33254996607
169.0	23813.50220840656	14954.1390741967	7407.994025113826
170.0	24125.70573437615	15121.5739161095	7148.866113501935
171.0	24412.61125901259	15356.700129388528	6845.2005562483555
172.0	24666.67148633927	15577.298416605543	6566.413559526867
173.0	24921.543257232253	15786.95168828665	6271.306478271202
174.0	25195.04937070675	15959.240663022441	5968.137323020099
175.0	25416.58113515769	16133.64201292932	5680.431640497039
176.0	25584.235842754126	16314.927189613127	5412.221760992562
177.0	25744.597817442875	16422.434937593494	5188.815071899315
178.0	25873.90563805451	16571.91494418855	4911.602819652956
179.0	25986.73677871123	16741.14347193812	4622.22878785252
180.0	26068.7773114363	16848.23696667752	4378.587438866158
181.0	26099.785266587736	16955.792269574667	4137.232241414663
182.0	26135.888340686928	17073.047687768383	3872.4044641252044
183.0	26139.01761325704	17175.16983233949	3608.3908217336343
184.0	26101.302925118824	17245.80606329848	3397.235006912963
185.0	26012.08136793712	17300.495953934547	3183.850351591975
186.0	25907.639931943402	17349.542035763232	2947.8184405024194
187.0	25789.028603193106	17373.372221831887	2716.3859160287675
188.0	25605.25003584484	17391.86542800882	2506.0144601577163
189.0	25445.498266582952	17394.687393014836	2280.585760350452
190.0	25202.873298908613	17399.820940692254	2075.8574468752386
191.0	24958.2542079205	17361.54921495	1873.4927694394694
192.0	24665.370653735503	17382.74028871036	1674.2096218604124
193.0	24363.55644844173	17300.392870261872	1547.5532073560337
194.0	24038.533479370733	17231.67167227299	1396.745947825081
195.0	23657.035587591592	17149.062679265648	1251.496205620182
196.0	23254.71567698813	17031.47817396432	1118.6582751488597
197.0	22816.430525564247	16934.72342629027	967.154737510244
198.0	22370.26494535753	16835.514742281026	821.1098600261583
199.0	21905.260828050257	16665.092367799047	732.7103321573018
200.0	21417.51944347129	16525.636445458003	592.1221533791205
201.0	20946.073190934472	16357.486144127353	517.4113463303509
202.0	20456.399552840692	16138.924670380522	481.3867092347021
203.0	19880.106446568112	15921.501707222093	391.0666224803186
204.0	19316.465122762187	15727.438370886597	273.3785902896605
205.0	18762.92577480322	15482.397522034391	235.65277805343433
206.0	18180.57441896375	15214.002541319036	188.10674586349512
207.0	17590.134592069306	14961.440553003184	129.94651724858417
208.0	16992.063601332662	14695.740702137517	86.61726205857046
209.0	16393.491104570592	14398.44424154196	52.48960704933515
210.0	15803.72603846323	14089.805864187856	24.487534269583072
211.0	15143.120331026092	13783.846011123827	0.0
212.0	14527.530547428496	13476.026892325719	0.0
213.0	13950.786249787801	13121.896999889692	0.0
214.0	13320.682538463996	12790.589402437148	0.0
215.0	12720.759806672431	12432.906233570207	0.0
216.0	12114.855085502955	12073.595364851184	0.0
217.0	11517.865237883285	11701.583727583486	0.0
218.0	10937.956594331527	11339.342638451431	0.0
219.0	10353.221518758895	10966.482228559089	0.0
220.0	9785.09053583534	10593.993396734604	0.0
221.0	9246.369569397226	10229.885286567778	0.0
222.0	8710.459839168683	9850.896074766662	0.0
223.0	8194.518730340968	9484.789042462015	15.460562428843284
224.0	7693.572062256045	9113.057664771799	32.26194852686693
225.0	7193.250610213988	8752.994019600741	41.77758387680512
226.0	6738.7160232362385	8393.114902146881	57.32072962167896
227.0	6289.794937575407	8039.920155150506	67.29365960537429
228.0	5860.682087201252	7684.823110081324	66.73222993869919
229.0	5458.169454876621	7346.38209958542	80.91458416902219
230.0	5084.922918172724	7013.3731552629815	99.75766579463127
231.0	4727.153577443244	6674.674632326872	116.30757938784012
232.0	4392.039562007713	6348.161545494521	127.59126292811426
233.0	4055.163164427927	6043.6026741610785	126.21831115404953
234.0	3732.573366351533	5755.844174813701	110.37806084864853
235.0	3448.852954880034	5465.188845287524	115.70016061773666
236.0	3197.845133640295	5190.933479400281	128.82580870392894
237.0	2960.016812058786	4903.071918105512	153.78052713351624
238.0	2716.794436547041	4658.676012994856	144.49398071861603
239.0	2506.006462422721	4404.99296120846	146.56319222875135
240.0	2308.434411455296	4167.2385808641075	157.35364533970446
241.0	2113.2288666801383	3938.200015817595	142.79196364510338
242.0	1931.3268873372765	3735.843089144853	127.34437649772468
243.0	1764.1493793604739	3541.5507086401135	113.34073938840571
244.0	1620.4241574968135	3339.9908957118555	119.79877000803754
245.0	1483.9961221817732	3162.407616384332	122.40057707433226
246.0	1353.7976058043016	2996.04435266323	110.79934085680841
247.0	1244.132784961462	2824.8852135337897	118.28145108222189
